directory,action,left,right
./data/breakages/cidiff_57,UPDATED,153,153
./data/breakages/astor_1260,UPDATED,117,118
./data/breakages/jimfs_1890,UPDATED,1789,1677
./data/breakages/assertj_1944,UPDATED,3264,3264
./data/breakages/juliac_789,MOVED_UNCHANGED,18942,18995
./data/breakages/googleguice_2121,MOVED_UNCHANGED,4556,1031
./data/breakages/assertj_1944,MOVED_UNCHANGED,11836,2814
./data/breakages/commonslang_2089,MOVED_UPDATED,384,385
./data/breakages/guava_2087,UPDATED,345,345
./data/breakages/cv_45,UPDATED,499,504
./data/breakages/guava_1947,UPDATED,1056,1055
./data/breakages/pushcommentgithub_173,MOVED_UNCHANGED,26,24
./data/breakages/disklrucache_2210,UPDATED,124,126
./data/breakages/spoonsnapshotdeployer_4314,UPDATED,43,43
./data/breakages/assertj_1944,MOVED_UNCHANGED,12900,3878
./data/breakages/juliac_789,UPDATED,19180,18091
./data/breakages/astor_400,UPDATED,545,545
./data/breakages/dspot_842,MOVED_UNCHANGED,10590,11739
./data/breakages/guava_2087,UPDATED,1332,1384
./data/breakages/jodatime_1837,UPDATED,1587,1586
./data/breakages/dspot_842,UPDATED,5428,5427
./data/breakages/googleguice_2121,MOVED_UNCHANGED,4238,713
./data/breakages/dspot_842,MOVED_UNCHANGED,11534,11706
./data/breakages/sorald_265,UPDATED,697,810
./data/breakages/spooncontrolflow_805,UPDATED,2602,61
./data/breakages/cocospoon_1754,UPDATED,432,176
./data/breakages/astor_1278,UPDATED,20,48
./data/breakages/googleguice_2121,UPDATED,2541,2541
./data/breakages/astor_400,UPDATED,546,546
./data/breakages/dspot_842,UPDATED,8508,8505
./data/breakages/spoonsnapshotdeployer_4314,UPDATED,7923,518
./data/breakages/guava_1947,UPDATED,323,322
./data/breakages/jodatime_2082,UPDATED,933,933
./data/breakages/jimfs_1890,UPDATED,1038,1039
./data/breakages/disklrucache_2210,UPDATED,681,681
./data/breakages/casper_1774,UPDATED,121,121
./data/breakages/spooncontrolflow_805,UPDATED,26,24
./data/breakages/sorald_265,UPDATED,183,182
./data/breakages/guava_1947,UPDATED,1430,1429
./data/breakages/jimfs_1890,UPDATED,390,391
./data/breakages/cv_45,UPDATED,344,349
./data/breakages/gumtreespoonastdiff_2017,UPDATED,128,128
./data/breakages/googleguice_2121,MOVED_UNCHANGED,4023,498
./data/breakages/spooncontrolflow_805,UPDATED,2604,63
./data/breakages/nopol_1347,UPDATED,238,238
./data/breakages/commonscodec_2463,UPDATED,65,65
./data/breakages/commonslang_2089,MOVED_UPDATED,345,346
./data/breakages/commonscodec_2463,MOVED_UPDATED,2015,157
./data/breakages/astor_400,UPDATED,511,511
./data/breakages/guava_2087,UPDATED,1668,1723
./data/breakages/disklrucache_2210,MOVED_UNCHANGED,750,749
./data/breakages/metamutator_1765,UPDATED,33,33
./data/breakages/nopol_1590,UPDATED,41275,147
./data/breakages/sorald_445,UPDATED,179,246
